+----+-------+----------------------+------------------------+------------+---------------------+--------------------------+----------------+-----------------+
|    | Шаг k |          Fk          |           Gk           | Гипотеза s |       q(s_i)        | Проверка F_k+q_i*G_k < x | Искомый символ | Его вероятность |
+----+-------+----------------------+------------------------+------------+---------------------+--------------------------+----------------+-----------------+
| 0  |   1   |          0           |           1            |     s1     |         0.0         |         0.0 < x          |                |                 |
| 1  |   1   |          0           |           1            |     s2     | 0.10000000000000003 | 0.10000000000000003 > x  |                |                 |
| 2  |   1   |          0           |           1            |     s3     | 0.30000000000000004 | 0.30000000000000004 > x  |                |                 |
| 3  |   1   |          0           |           1            |     s4     |         0.4         |         0.4 > x          |       s1       |       0.1       |
| 4  |  ---  |         ---          |          ---           |    ---     |         ---         |           ---            |      ---       |       ---       |
| 5  |   2   |         0.0          |          0.1           |     s1     |         0.0         |         0.0 < x          |                |                 |
| 6  |   2   |         0.0          |          0.1           |     s2     | 0.10000000000000003 | 0.010000000000000004 < x |                |                 |
| 7  |   2   |         0.0          |          0.1           |     s3     | 0.30000000000000004 | 0.030000000000000006 > x |                |                 |
| 8  |   2   |         0.0          |          0.1           |     s4     |         0.4         | 0.04000000000000001 > x  |       s2       |       0.2       |
| 9  |  ---  |         ---          |          ---           |    ---     |         ---         |           ---            |      ---       |       ---       |
| 10 |   3   | 0.010000000000000004 |  0.020000000000000004  |     s1     |         0.0         | 0.010000000000000004 < x |                |                 |
| 11 |   3   | 0.010000000000000004 |  0.020000000000000004  |     s2     | 0.10000000000000003 | 0.012000000000000004 > x |                |                 |
| 12 |   3   | 0.010000000000000004 |  0.020000000000000004  |     s3     | 0.30000000000000004 | 0.016000000000000007 > x |                |                 |
| 13 |   3   | 0.010000000000000004 |  0.020000000000000004  |     s4     |         0.4         | 0.018000000000000006 > x |       s1       |       0.1       |
| 14 |  ---  |         ---          |          ---           |    ---     |         ---         |           ---            |      ---       |       ---       |
| 15 |   4   | 0.010000000000000004 | 0.0020000000000000005  |     s1     |         0.0         | 0.010000000000000004 < x |                |                 |
| 16 |   4   | 0.010000000000000004 | 0.0020000000000000005  |     s2     | 0.10000000000000003 | 0.010200000000000004 < x |                |                 |
| 17 |   4   | 0.010000000000000004 | 0.0020000000000000005  |     s3     | 0.30000000000000004 | 0.010600000000000004 < x |                |                 |
| 18 |   4   | 0.010000000000000004 | 0.0020000000000000005  |     s4     |         0.4         | 0.010800000000000004 > x |       s3       |       0.1       |
| 19 |  ---  |         ---          |          ---           |    ---     |         ---         |           ---            |      ---       |       ---       |
| 20 |   5   | 0.010600000000000004 | 0.00020000000000000006 |     s1     |         0.0         | 0.010600000000000004 < x |                |                 |
| 21 |   5   | 0.010600000000000004 | 0.00020000000000000006 |     s2     | 0.10000000000000003 | 0.010620000000000003 < x |                |                 |
| 22 |   5   | 0.010600000000000004 | 0.00020000000000000006 |     s3     | 0.30000000000000004 | 0.010660000000000003 > x |                |                 |
| 23 |   5   | 0.010600000000000004 | 0.00020000000000000006 |     s4     |         0.4         | 0.010680000000000004 > x |       s2       |       0.2       |
| 24 |  ---  |         ---          |          ---           |    ---     |         ---         |           ---            |      ---       |       ---       |
| 25 |   6   | 0.010620000000000003 | 4.000000000000002e-05  |     s1     |         0.0         | 0.010620000000000003 < x |                |                 |
| 26 |   6   | 0.010620000000000003 | 4.000000000000002e-05  |     s2     | 0.10000000000000003 | 0.010624000000000003 < x |                |                 |
| 27 |   6   | 0.010620000000000003 | 4.000000000000002e-05  |     s3     | 0.30000000000000004 | 0.010632000000000003 < x |                |                 |
| 28 |   6   | 0.010620000000000003 | 4.000000000000002e-05  |     s4     |         0.4         | 0.010636000000000003 > x |       s3       |       0.1       |
| 29 |  ---  |         ---          |          ---           |    ---     |         ---         |           ---            |      ---       |       ---       |
| 30 |   7   | 0.010632000000000003 | 4.0000000000000015e-06 |     s1     |         0.0         | 0.010632000000000003 < x |                |                 |
| 31 |   7   | 0.010632000000000003 | 4.0000000000000015e-06 |     s2     | 0.10000000000000003 | 0.010632400000000002 < x |                |                 |
| 32 |   7   | 0.010632000000000003 | 4.0000000000000015e-06 |     s3     | 0.30000000000000004 | 0.010633200000000002 < x |                |                 |
| 33 |   7   | 0.010632000000000003 | 4.0000000000000015e-06 |     s4     |         0.4         | 0.010633600000000002 < x |       s4       |       0.6       |
| 34 |  ---  |         ---          |          ---           |    ---     |         ---         |           ---            |      ---       |       ---       |
+----+-------+----------------------+------------------------+------------+---------------------+--------------------------+----------------+-----------------+
